ADM2_EN,ADM2_PCODE,ADM2_REF,ADM2ALT1_EN,ADM2ALT2_EN,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,DATE,VALIDON,VALID_TO,District,DISTRICT_PCODE,AREA_SQKM
Bishnu,NP0219408,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Sarlahi,NP0219,28.08486509
Bishnupur,NP0215407,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Saptari,NP0215,36.55735561
Bishnupur,NP0216402,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Siraha,NP0216,26.31719813
Bishrampur,NP0233404,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Bara,NP0233,19.81019277
Bithadchir,NP0767404,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Bajhang,NP0767,85.96587002
Bode Barsain,NP0215306,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Saptari,NP0215,58.84572821
Bogtan Fudisal,NP0770407,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Doti,NP0770,299.6663891
Bramhapuri,NP0219407,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Sarlahi,NP0219,33.8791576
Brindaban,NP0232305,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Rautahat,NP0232,95.38082441
Buddhabhumi,NP0549302,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Kapilbastu,NP0549,366.676372
Buddhashanti,NP0104402,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Jhapa,NP0104,79.4710271
Budhanilakantha,NP0327303,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Kathmandu,NP0327,34.79135949
Budhiganga,NP0105404,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Morang,NP0105,56.27513065
Budhiganga,NP0768303,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Bajura,NP0768,59.10977723
Budhinanda,NP0768301,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Bajura,NP0768,232.2255881
Bulingtar,NP0447402,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Nawalparasi East,NP0447,147.7051167
Bungal,NP0767301,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Bajhang,NP0767,446.7040066
Baudikali,NP0447401,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Nawalparasi East,NP0447,91.88721667
Butwal,NP0548201,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Rupandehi,NP0548,101.6266511
Byas,NP0440302,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Tanahu,NP0440,247.7812635
Byas,NP0775401,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Darchula,NP0775,837.5709249
Chabispathivera,NP0767407,,,,7,NP07,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Bajhang,NP0767,116.127757
Chainpur,NP0109303,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Sankhuwasabha,NP0109,223.1310717
Chakraghatta,NP0219404,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Sarlahi,NP0219,25.1475689
Chame,NP0438403,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Manang,NP0438,78.87387877
Champadevi,NP0113404,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Okhaldhunga,NP0113,126.7792935
Chamunda Bindrasaini,NP0661302,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dailekh,NP0661,90.49163785
Chandannath,NP0663301,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Jumla,NP0663,101.9738889
Chandragiri,NP0327308,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Kathmandu,NP0327,43.9090843
Chandrakot,NP0551406,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Gulmi,NP0551,105.737458
Chandranagar,NP0219402,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Sarlahi,NP0219,47.48157069
Chandrapur,NP0232302,,,,2,NP02,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Rautahat,NP0232,249.8963853
Changunarayan,NP0326302,,,,3,NP03,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Bhaktapur,NP0326,62.96161619
Chankheli,NP0666405,,,,6,NP06,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Humla,NP0666,1309.762018
Chapakot,NP0441305,,,,4,NP04,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Syangja,NP0441,120.610298
Chatrakot,NP0551407,,,,5,NP05,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Gulmi,NP0551,87.02977045
Chaubise,NP0107404,,,,1,NP01,Nepal,NP,11/28/2018 0:00,4/30/2019 0:00,,Dhankuta,NP0107,147.1966764
